[Thu Feb 16 11:10:11.811 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:10:11.814 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:10:11.818 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:13.162 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:13.165 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:13.169 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:33.323 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:33.328 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:33.332 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:50.238 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:50.242 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:25:50.246 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:28:13.602 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:28:13.607 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:28:13.611 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:29:02.695 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:29:02.699 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:29:02.702 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:33:17.785 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:33:17.789 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
